"gene","drug","drug_concept_id","interaction_score","interaction_types","sources","key"
"ACRV1","V24343","drugbank:DB05201",0.652547481986069,"","GuideToPharmacology","V24343|drugbank:DB05201"
"ACRV1","BMS-202","iuphar.ligand:9607",0.652547481986069,"","GuideToPharmacology","BMS-202|iuphar.ligand:9607"
"ACRV1","BAY-593074","iuphar.ligand:10348",0.652547481986069,"","GuideToPharmacology","BAY-593074|iuphar.ligand:10348"
"ACRV1","MDMB-FUBINACA","iuphar.ligand:10178",0.652547481986069,"","GuideToPharmacology","MDMB-FUBINACA|iuphar.ligand:10178"
"ACRV1","OLORINAB","ncit:C166825",0.652547481986069,"","GuideToPharmacology","OLORINAB|ncit:C166825"
"ACRV1","JWH-018","iuphar.ligand:9706",0.652547481986069,"","GuideToPharmacology","JWH-018|iuphar.ligand:9706"
"ACRV1","AZD1940","iuphar.ligand:12754",0.652547481986069,"","GuideToPharmacology","AZD1940|iuphar.ligand:12754"
"ACRV1","ORG27569","iuphar.ligand:7851",1.30509496397214,"","GuideToPharmacology","ORG27569|iuphar.ligand:7851"
"ACRV1","OTENABANT","ncit:C84034",0.652547481986069,"","GuideToPharmacology","OTENABANT|ncit:C84034"
"ACRV1","AM841","iuphar.ligand:9613",1.30509496397214,"","GuideToPharmacology","AM841|iuphar.ligand:9613"
"ACRV1","CANNABINOL","rxcui:1976",0.435031654657379,"","GuideToPharmacology","CANNABINOL|rxcui:1976"
"ACRV1","ANANDAMIDE","iuphar.ligand:2364",0.0815684352482586,"","GuideToPharmacology","ANANDAMIDE|iuphar.ligand:2364"
"ACRV1","PF-514273","iuphar.ligand:11693",1.30509496397214,"","GuideToPharmacology","PF-514273|iuphar.ligand:11693"
"ACRV1","SCH.336","iuphar.ligand:9799",0.652547481986069,"","GuideToPharmacology","SCH.336|iuphar.ligand:9799"
"ACRV1","RIMONABANT","ncit:C73244",0.14501055155246,"","GuideToPharmacology","RIMONABANT|ncit:C73244"
"ACRV1","HU-210","iuphar.ligand:731",0.186442137710305,"","GuideToPharmacology","HU-210|iuphar.ligand:731"
"ACRV1","AM6538","iuphar.ligand:9338",1.30509496397214,"","GuideToPharmacology","AM6538|iuphar.ligand:9338"
